#flight_id, longitude(deg), latitude(deg), altitude (1000 feets), time (secs)
56,-91.566895,40.600598,37.000010,36240.000000
56,-91.405581,40.624916,37.000010,36300.000000
57,-88.807924,38.640513,25.136550,31560.000000
57,-88.672615,38.660409,27.912050,31620.000000
57,-88.531615,38.681141,30.301715,31680.000000
57,-88.388142,38.702236,32.909902,31740.000000
57,-88.246134,38.723117,35.163340,31800.000000
57,-88.105312,38.743823,36.539668,31860.000000
58,-98.920105,38.571183,24.895217,32400.000000
58,-99.033645,38.511448,27.704484,32460.000000
58,-99.151880,38.449185,30.122729,32520.000000
58,-99.272460,38.385626,32.712578,32580.000000
58,-99.391719,38.322704,35.000426,32640.000000
58,-99.509823,38.260331,36.847973,32700.000000
58,-99.627638,38.198053,38.321560,32760.000000
58,-99.745329,38.135780,39.471848,32820.000000
58,-99.862914,38.073506,39.868645,32880.000000
58,-99.980528,38.011157,39.994125,32940.000000
58,-100.103077,37.946129,40.002410,33000.000000
58,-100.230471,37.878462,40.000363,33060.000000
58,-100.358802,37.810227,40.000027,33120.000000
58,-100.487006,37.741988,40.000027,33180.000000
58,-100.615086,37.673744,40.000027,33240.000000
58,-100.743043,37.605494,40.000027,33300.000000
58,-100.870876,37.537239,40.000027,33360.000000
58,-100.998586,37.468979,40.000027,33420.000000
58,-101.126173,37.400712,40.000027,33480.000000
58,-101.253638,37.332438,40.000027,33540.000000
58,-101.380980,37.264158,40.000027,33600.000000
58,-101.508199,37.195872,40.000027,33660.000000
58,-101.635296,37.127578,40.000027,33720.000000
58,-101.762271,37.059276,40.000027,33780.000000
58,-101.889123,36.990966,40.000027,33840.000000
58,-102.015854,36.922649,40.000027,33900.000000
59,-99.638118,35.873014,32.000016,37860.000000
59,-99.750138,35.972762,32.000014,37920.000000
59,-99.862200,36.072586,32.000014,37980.000000
59,-99.974234,36.172534,32.000014,38040.000000
59,-100.086231,36.272614,32.000045,38100.000000
59,-100.199756,36.371688,32.000014,38160.000000
59,-100.313418,36.470768,32.000014,38220.000000
59,-100.427181,36.569884,32.000014,38280.000000
59,-100.541035,36.669043,32.000014,38340.000000
59,-100.654965,36.768256,32.000014,38400.000000
59,-100.768945,36.867541,32.000014,38460.000000
59,-100.882916,36.966943,32.000014,38520.000000
59,-100.998644,37.065043,32.005270,38580.000000
59,-101.127330,37.152633,32.000021,38640.000000
59,-101.256330,37.240068,32.000014,38700.000000
59,-101.385397,37.327582,32.000014,38760.000000
59,-101.514478,37.415223,32.000014,38820.000000
59,-101.643393,37.503158,32.000021,38880.000000
59,-101.773119,37.590488,32.000000,38940.000000
59,-101.903302,37.677536,32.000014,39000.000000
59,-102.033464,37.764748,32.000014,39060.000000
60,-101.591950,38.017730,33.000004,34560.000000
60,-101.432984,37.999778,33.000010,34620.000000
60,-101.274075,37.981736,33.000010,34680.000000
60,-101.115209,37.963673,33.000010,34740.000000
60,-100.956388,37.945578,33.000010,34800.000000
60,-100.797616,37.927428,33.000010,34860.000000
60,-100.638267,37.913722,33.000160,34920.000000
60,-100.478219,37.905554,33.000010,34980.000000
60,-100.318188,37.897393,33.000010,35040.000000
60,-100.158175,37.889228,33.000010,35100.000000
60,-99.998180,37.881061,33.000010,35160.000000
60,-99.838204,37.872890,33.000010,35220.000000
60,-99.678245,37.864715,33.000010,35280.000000
60,-99.518305,37.856536,33.000010,35340.000000
60,-99.358383,37.848352,33.000010,35400.000000
60,-99.198479,37.840161,33.000010,35460.000000
60,-99.038594,37.831964,33.000010,35520.000000
60,-98.878727,37.823756,33.000010,35580.000000
60,-98.718879,37.815536,33.000010,35640.000000
60,-98.559051,37.807294,33.000010,35700.000000
60,-98.399289,37.798534,33.000023,35760.000000
60,-98.239700,37.788165,33.000010,35820.000000
60,-98.080137,37.777767,33.000010,35880.000000
60,-97.920598,37.767356,33.000010,35940.000000
60,-97.761084,37.756923,33.000010,36000.000000
60,-97.601597,37.746443,33.000010,36060.000000
60,-97.442512,37.732943,33.000010,36120.000000
60,-97.283589,37.718451,33.000010,36180.000000
60,-97.124697,37.703956,33.000010,36240.000000
60,-96.965837,37.689459,33.000010,36300.000000
60,-96.807009,37.674959,33.000010,36360.000000
60,-96.648212,37.660457,33.000010,36420.000000
60,-96.489447,37.645951,33.000010,36480.000000
60,-96.330713,37.631443,33.000010,36540.000000
60,-96.172011,37.616931,33.000010,36600.000000
60,-96.013341,37.602417,33.000010,36660.000000
60,-95.854702,37.587898,33.000010,36720.000000
60,-95.696094,37.573376,33.000010,36780.000000
60,-95.537519,37.558850,33.000010,36840.000000
60,-95.378975,37.544320,33.000010,36900.000000
60,-95.220463,37.529785,33.000010,36960.000000
60,-95.061982,37.515245,33.000010,37020.000000
60,-94.903534,37.500699,33.000010,37080.000000
60,-94.745117,37.486148,33.000010,37140.000000
60,-94.586732,37.471590,33.000010,37200.000000
60,-94.428380,37.457024,33.000010,37260.000000
60,-94.270059,37.442449,33.000010,37320.000000
60,-94.111771,37.427864,33.000010,37380.000000
60,-93.953516,37.413267,33.000010,37440.000000
60,-93.795295,37.398654,33.000010,37500.000000
60,-93.637107,37.384020,33.000010,37560.000000
60,-93.478955,37.369352,33.000010,37620.000000
60,-93.320923,37.354194,32.993480,37680.000000
60,-93.165657,37.326515,33.000016,37740.000000
60,-93.010575,37.298384,33.000010,37800.000000
60,-92.855552,37.270250,33.000010,37860.000000
60,-92.700589,37.242113,33.000010,37920.000000
60,-92.545684,37.213974,33.000010,37980.000000
60,-92.390838,37.185832,33.000010,38040.000000
60,-92.236051,37.157687,33.000010,38100.000000
60,-92.081322,37.129539,33.000010,38160.000000
60,-91.926653,37.101388,33.000010,38220.000000
60,-91.772042,37.073233,33.000010,38280.000000
60,-91.617489,37.045076,33.000010,38340.000000
60,-91.462996,37.016914,33.000010,38400.000000
61,-90.807679,37.232828,26.000023,41460.000000
61,-90.870275,37.346595,26.000023,41520.000000
61,-90.932942,37.460373,26.000023,41580.000000
61,-90.995679,37.574162,26.000023,41640.000000
61,-91.058481,37.687963,26.000023,41700.000000
61,-91.121345,37.801779,26.000023,41760.000000
61,-91.184263,37.915612,26.000023,41820.000000
61,-91.247227,38.029465,26.000023,41880.000000
61,-91.310220,38.143344,26.000023,41940.000000
61,-91.373210,38.257259,26.000023,42000.000000
